EMAIL;NAME
enquiries@affordableartfair.com;AFFORDABLE ART FAIR - NEW YORK
amberif@mtgsa.com.pl;AMBERIF
unitedkingdom@architectatwork.eu;ARCHITECT @ WORK - UNITED KINGDOM
aula@ifema.es;AULA
info@autonomic-expo.com;AUTONOMIC ATLANTIC
dmaguire@divcom.co.uk;BRITISH TOURISM & TRAVEL SHOW
chemexpo@esgroup.net;COATING KOREA
incheba@incheba.sk;CONECO - RACIOENERGIA
nick.woore@prysmgroup.co.uk;DEMENTIA, CARE & NURSING HOME EXPO
info@expoforum.ru;ECOLOGY OF BIG CITY
info@pe.com.ua;ESTET BEAUTY EXPO
fairinfo@fair.bg;EUROPEAN FORUM ON SOCIAL ENTREPRENEURSHIP
nick.woore@prysmgroup.co.uk;EUROPEAN NEURO CONVENTION
fairinfo@fair.bg;FLOWER SPRING / AUTUMN
fpdchina@semi.org;FPD CHINA
freizeit@afag.de;FREIZEIT, GARTEN + TOURISTIK
fil@aip.pt;FUTUR�LIA LISBOA
interdidac@ifema.es;INTERDIDAC
info@sajam.rs;INTERNATIONAL MOTOR SHOW - SERBIA
info@internationalsportsconvention.com;INTERNATIONAL SPORTS CONVENTION (ISC)
info@iegexpo.it;KEY ENERGY
info@imag.de;LASER PHOTONICS CHINA
antwerp@easyfairs.com;M+R ANTWERPEN
marketing-mai@easyfairs.com;MAINTENANCE ANTWERP
auto@sajam.rs;MOTOPASSION INTERNATIONAL MOTOCYCLE SHOW
marketing@naidex.co.uk;NAIDEX
info@ascential.com;NAIDEX NATIONAL
fairinfo@fair.bg;NATURE, HUNTING, FISHING, TOURISM-SPORT
executive@nsta.org;NSTA NATIONAL CONFERENCE - ATLANTA
info@ubmphilippines.com;PHILENERGY PHILIPPINES
info@pe.com.ua;PRO BEAUTY EXPO
exhibitor@productronica-china.com ;PRODUCTRONICA CHINA
info@expotrade.net.au;SA MAJOR PROJECTS CONFERENCE
gr@abf.cz;FOR BEAUTY
 barbara.latri@pgorganisation.fr;SALON DES SENIORS
info@salondudessin.com;SALON DU DESSIN
semiexpositions@semi.org;SEMICON CHINA
sfa@norboat.no;SJ�EN FOR ALLE
lifestyleunit@ditp.go.th;STYLE FAIR
chemexpo@esgroup.net;SURTECH KOREA
cycle@taitra.org.tw;TAIPEI INTERNATIONAL CYCLE SHOW
taispo@taitra.org.tw;TAISPO
info@expoforum.ru;WASTE MANAGEMENT - TECHNOLOGY AND EQUIPMENT
nfo@informa.com;WATER PHILIPPINES EXPO
tureks@tureksfuar.com.tr;ADVENTURE TURKEY EXPO
ambient@romexpo.ro;AMBIENT EXPO
art@messebasel.ch;ART BASEL HONG KONG
messe@tulln.at;AUSTRO VIN TULLN
amy.xie@reedhuaqun.com;CHINA BEIJING INTERNATIONAL GIFTS, PREMIUM & HOUSEWARE EXHIBITION
info@messe-stuttgart.de;GIVEADAYS
gtegarment@gmail.com;GSE EXPO
info@gesi.com.ph;HVAC/R PHILIPPINES - LUZON
info@bt1.lv;COMFORTHOME
construct@romexpo.ro;CONSTRUCT EXPO
info@drawingnowparis.com;DRAWING NOW PARIS / LE SALON DU DESSIN CONTEMPORAIN
sochi@soud.ru;DRINKS SOCHI
julie.blade@e-crimecongress.com;E-CRIME & CYBERSECURITY FRANCE
alisonf@mpeshows.com;EDMONTON HOME AND GARDEN SHOW
contato@insightconecta.com.br;EFN - EXPO FRANQUIAS NORDESTE
directia.evenimente@romexpo.ro;EXPO FLOWERS & GARDEN
lineaifema@ifema.es;EXPOELEARNING
sonia.hiboux@alpexpo.com;FESTIVAL DES LOISIRS CR�ATIFS DE GRENOBLE
sochi@soud.ru;FOOD SOCHI
info@bt1.lv;HOUSE - M�JA
info@impressionsexpo.com;IMPRESSIONS EXPO - ATLANTIC CITY
rmcconnell@hanleywood.com;JLC LIVE NORTHWEST
kimes@kimes.kr;KIMES
messe@tulln.at;KULINAR TULLN
romexpo@romexpo.ro;MOBILA EXPO
melodie.marco@centaur.co.uk;NATIONAL HOMEBUILDING AND RENOVATING SHOW
rosannah@marketplaceevents.com;OTTAWA HOME & GARDEN SHOW
info@artpbfair.com;PALM BEACH ART
webmaster@nmma.org;PALM BEACH INTERNATIONAL BOAT SHOW
questions@paxsite.com;PAX EAST
messe@tulln.at;POOL + GARDEN TULLN
romtherm@romexpo.ro;ROMTHERM
lineaifema@ifema.es;SAL�N INTERNACIONAL DE POSTGRADO Y FORMACI�N CONTINUA
rjohnstone@expomediainc.com;SALON MAISONS ET R�NOVATION D''OTTAWA,
info@modetissus.fr;SALON MODE ET TISSUS
aubagne@exposium.fr;SALONS CE MARSEILLE
commercial-ce@comexposium.com;SALONS CE NANTES
info@smb-digital.com.au;SMB DIGITAL
info@warsawexpo.eu;WARSAW BUILD EXPO
lisag@mpeshows.com;AUSTIN FALL HOME + GARDEN SHOW
lisag@mpeshows.com;AUSTIN SPRING HOME + GARDEN SHOW
info@bau-messen.de;BAUEN & WOHNEN - M�NSTER
thomas@baumesse.de;BAUMESSE M�NCHENGLADBACH
easyfairsexpo@easyfairs.com;BOIS & HABITAT
canterburyhomeshow@eenz.net.nz;CANTERBURY HOME SHOW
info@eea.net.au;CHRISTCHURCH HOME SHOW
rosannah@marketplaceevents.com;CLEVELAND HOME + REMODELING EXPO
TannerGunShow@gmail.com;COLORADO SPRINGS GUN SHOW
rosannah@marketplaceevents.com;DENVER HOME SHOW
infofiere@fierapordenone.it;ECO CASA ENERGY
comet@rouen-expo.com;FOIRE INTERNATIONALE DE ROUEN
parc-expo@orleansgestion.fr;FOIRE-EXPOSITION D'ORL�ANS
gr@abf.cz;FOR BIKES
info@fairexpo.pl;GLOBALNIE
matej.majzel@univerie.com;MATEJ EVENT
